species	RepeatModeler_superfamily	number_of_copies_300bp	total_nucleotides	number_of_families
Sus_scrofa	DNA/TcMar-Tc2	240	92341	2
Sus_scrofa	DNA/hAT-Blackjack	1147	518897	3
Sus_scrofa	LTR/ERVK	3479	2399322	8
Sus_scrofa	Satellite/centr	2860	918676	1
Oryctolagus_cuniculus	LINE/L1	448292	308830484	113
Oryctolagus_cuniculus	SINE/C	769265	299745637	44
Oryctolagus_cuniculus	LTR/ERV1	29570	14328373	64
Oryctolagus_cuniculus	LTR/ERVL	14867	7079550	24
Oryctolagus_cuniculus	DNA/hAT-Charlie	2374	1128932	8
Oryctolagus_cuniculus	DNA/TcMar-Mariner	1820	1124778	2
Oryctolagus_cuniculus	LTR/ERVK	25603	18499844	21
Oryctolagus_cuniculus	LTR/ERVL-MaLR	31735	11753394	23
Oryctolagus_cuniculus	DNA/TcMar-Tigger	8950	3585790	12
Oryctolagus_cuniculus	LINE/L2	1389	580346	3
Oryctolagus_cuniculus	DNA/Ginger	832	437446	1
Oryctolagus_cuniculus	DNA/CMC-EnSpm	2	744	1
Oryctolagus_cuniculus	DNA/hAT-Tip100	271	146367	1
Sinocyclocheilus_grahami	SINE/tRNA-Glu	3223	1035309	2
Sinocyclocheilus_grahami	DNA/hAT-Ac	33799	16787499	87
Sinocyclocheilus_grahami	DNA/CMC-EnSpm	17858	7751621	42
Sinocyclocheilus_grahami	DNA/TcMar-Tc1	33443	19978800	82
Sinocyclocheilus_grahami	DNA/Kolobok-T2	33508	18946274	34
Sinocyclocheilus_grahami	SINE/Deu	1370	642677	1
Sinocyclocheilus_grahami	DNA/hAT	46377	22670594	70
Sinocyclocheilus_grahami	DNA/TcMar	12278	5107425	11
Sinocyclocheilus_grahami	LINE/L2	26426	16995424	59
Sinocyclocheilus_grahami	LTR/DIRS	33540	22162175	64
Sinocyclocheilus_grahami	DNA/hAT-Charlie	5894	2503194	24
Sinocyclocheilus_grahami	DNA/PiggyBac	12563	6547106	18
Sinocyclocheilus_grahami	DNA/hAT-Tip100	2231	1067402	11
Sinocyclocheilus_grahami	LINE/Penelope	179	91155	3
Sinocyclocheilus_grahami	DNA/Ginger	264	186051	1
Sinocyclocheilus_grahami	DNA/Sola	4700	3029306	2
Sinocyclocheilus_grahami	LTR/ERV1	2044	1437573	4
Sinocyclocheilus_grahami	LINE/I	173	68117	2
Sinocyclocheilus_grahami	LTR/Gypsy	21332	12055324	54
Sinocyclocheilus_grahami	LINE/Rex-Babar	6452	3992873	20
Sinocyclocheilus_grahami	RC/Helitron	4150	2749813	15
Sinocyclocheilus_grahami	DNA/Novosib	1325	860156	1
Sinocyclocheilus_grahami	LTR/ERVK	913	292908	1
Sinocyclocheilus_grahami	DNA/PIF-Harbinger	10224	4625766	33
Sinocyclocheilus_grahami	DNA/Maverick	2145	947350	3
Sinocyclocheilus_grahami	DNA/TcMar-Tc2	1809	1014730	3
Sinocyclocheilus_grahami	DNA/hAT-hAT5	1575	677756	5
Sinocyclocheilus_grahami	DNA/hAT-hobo	466	179310	3
Sinocyclocheilus_grahami	SINE/V	2	660	1
Sinocyclocheilus_grahami	DNA/TcMar-Fot1	304	98968	1
Sinocyclocheilus_grahami	DNA/PIF-ISL2EU	828	395986	3
Sinocyclocheilus_grahami	LINE/CR1	53	48227	1
Sinocyclocheilus_grahami	DNA/TcMar-ISRm11	605	300795	3
Sinocyclocheilus_grahami	LTR/Ngaro	1326	812811	5
Sinocyclocheilus_grahami	LINE/R1	567	227383	1
Sinocyclocheilus_grahami	LINE/I-Nimb	1066	717070	2
Sinocyclocheilus_grahami	DNA/TcMar-Tigger	140	46264	1
Sinocyclocheilus_grahami	LINE/RTE-X	404	276511	1
Sinocyclocheilus_grahami	LINE/L1	439	235636	1
Sinocyclocheilus_grahami	LINE/L1-Tx1	578	521499	2
Sinocyclocheilus_grahami	DNA/hAT-Blackjack	219	70951	1
Sinocyclocheilus_grahami	LTR/Copia	106	38627	1
Sinocyclocheilus_grahami	LTR/Pao	591	482541	2
Sinocyclocheilus_grahami	DNA/MULE-MuDR	78	27728	1
Sinocyclocheilus_grahami	LINE/R2-Hero	173	150313	1
Phodopus_sungorus	LINE/L1	98146	47877411	36
Phodopus_sungorus	LTR/ERVK	4188	1993728	20
Phodopus_sungorus	LTR/ERV1	1196	656301	7
Phodopus_sungorus	DNA/hAT-Charlie	2201	1084655	1
Phodopus_sungorus	LTR/ERVL	7982	3829775	9
Phodopus_sungorus	DNA/TcMar-Tigger	344	116869	2
Cavia_porcellus	SINE/Alu	29677	35828015	26
Cavia_porcellus	LINE/L1	385160	466344909	171
Cavia_porcellus	SINE/ID	6075	4119718	11
Cavia_porcellus	LTR/ERV	2064	1743979	4
Cavia_porcellus	LTR/ERVK	25874	22599562	37
Cavia_porcellus	DNA/Novosib	3	1427	2
Cavia_porcellus	LTR/ERVL	59093	38761189	28
Cavia_porcellus	LTR/ERV1	61085	44403031	98
Cavia_porcellus	DNA/PiggyBac	3309	2738645	3
Cavia_porcellus	LTR/ERVL-MaLR	101613	43009494	43
Cavia_porcellus	DNA/TcMar-Mariner	13308	5898606	4
Cavia_porcellus	DNA/TcMar-Tigger	8562	3894435	15
Cavia_porcellus	DNA/hAT-Charlie	4502	2889403	10
Cavia_porcellus	SINE/MIR	2869	3641026	3
Cavia_porcellus	DNA/CMC-EnSpm	1135	581480	3
Cavia_porcellus	SINE/7SL	1229	1053088	1
Cavia_porcellus	DNA/TcMar	2	641	1
Cavia_porcellus	LINE/L2	4	1212	1
Cavia_porcellus	DNA/TcMar-Tc2	621	351753	1
Cavia_porcellus	DNA/MULE-MuDR	312	97680	1
Pygocentrus_nattereri	DNA/TcMar-Tc1	116507	68965902	121
Pygocentrus_nattereri	LINE/RTE	5203	3753022	2
Pygocentrus_nattereri	LINE/RTE-BovB	15206	9660614	8
Pygocentrus_nattereri	LINE/Rex-Babar	12617	7422599	54
Pygocentrus_nattereri	LINE/L2	18109	10655894	62
Pygocentrus_nattereri	DNA/hAT	11048	5582258	13
Pygocentrus_nattereri	SINE/5S	2306	1016735	1
Pygocentrus_nattereri	DNA/TcMar	6711	2336972	5
Pygocentrus_nattereri	DNA/Novosib	402	169146	1
Pygocentrus_nattereri	DNA/PIF-Harbinger	7486	3866573	16
Pygocentrus_nattereri	LINE/L1	2911	1716957	18
Pygocentrus_nattereri	LINE/RTE-X	678	383218	3
Pygocentrus_nattereri	DNA/hAT-Ac	6494	2860978	29
Pygocentrus_nattereri	DNA/CMC-EnSpm	1354	538633	8
Pygocentrus_nattereri	SINE/tRNA-Glu	342	147131	2
Pygocentrus_nattereri	RC/Helitron	2952	1690318	2
Pygocentrus_nattereri	LTR/Gypsy	4167	2664586	17
Pygocentrus_nattereri	LTR/ERV1	2498	1538730	9
Pygocentrus_nattereri	SINE/tRNA-Lys	217	80062	2
Pygocentrus_nattereri	SINE/ID	101	36082	2
Pygocentrus_nattereri	LTR/ERVL	243	113181	3
Pygocentrus_nattereri	LTR/Pao	1922	1256209	6
Pygocentrus_nattereri	LTR/Ngaro	8233	2844528	3
Pygocentrus_nattereri	DNA/Sola	565	289952	2
Pygocentrus_nattereri	DNA/PiggyBac	213	113393	2
Pygocentrus_nattereri	DNA/hAT-Tip100	969	456118	6
Pygocentrus_nattereri	DNA/hAT-Charlie	7803	3212015	9
Pygocentrus_nattereri	LINE/L1-Tx1	474	313792	3
Pygocentrus_nattereri	DNA/MULE-MuDR	298	175630	2
Pygocentrus_nattereri	DNA/Kolobok-T2	552	248362	2
Pygocentrus_nattereri	SINE/MIR	164	50539	1
Pygocentrus_nattereri	LTR/Gypsy-Cigr	742	475799	3
Pygocentrus_nattereri	DNA/hAT-Tol2	272	102773	3
Pygocentrus_nattereri	LTR/ERVK	161	104720	1
Pygocentrus_nattereri	SINE/tRNA-RTE	76	26562	1
Pygocentrus_nattereri	DNA/TcMar-ISRm11	154	88817	4
Pygocentrus_nattereri	DNA/Academ	109	45040	1
Pygocentrus_nattereri	DNA/P	91	37176	1
Pygocentrus_nattereri	DNA/CMC-Chapaev-3	220	159586	1
Pygocentrus_nattereri	DNA/Merlin	88	47422	1
Pygocentrus_nattereri	DNA/Maverick	2	617	1
Pygocentrus_nattereri	DNA/PIF-ISL2EU	821	453746	2
Pygocentrus_nattereri	DNA/hAT-hAT5	63	22706	1
Pygocentrus_nattereri	LINE/R2-Hero	94	62963	1
Pygocentrus_nattereri	LTR/Copia	194	90429	1
Apalone_spinifera	LTR/Gypsy	10057	6754190	23
Apalone_spinifera	LINE/CR1	176811	110107514	67
Apalone_spinifera	SINE/MIR	2098	1004931	8
Apalone_spinifera	DNA/hAT-Charlie	16554	6786568	39
Apalone_spinifera	DNA/CMC-Chapaev-3	1611	661550	8
Apalone_spinifera	DNA/PIF-Harbinger	22246	11769017	16
Apalone_spinifera	LTR/ERV1	11332	5392251	3
Apalone_spinifera	DNA/MULE-MuDR	17611	6867162	7
Apalone_spinifera	LINE/Penelope	25894	13705660	23
Apalone_spinifera	SINE/Deu	1033	392628	3
Apalone_spinifera	LTR/DIRS	27852	21204288	23
Apalone_spinifera	DNA/TcMar	5	1713	1
Apalone_spinifera	LINE/L1-Tx1	2431	1354526	4
Apalone_spinifera	DNA/CMC-EnSpm	2944	1016663	2
Apalone_spinifera	RC/Helitron	4512	1535283	8
Apalone_spinifera	DNA/hAT-Tip100	3600	2386484	12
Apalone_spinifera	DNA/hAT-Blackjack	290	121005	4
Apalone_spinifera	DNA/hAT-Tag1	3368	1997589	7
Apalone_spinifera	LINE/L2	4483	2348813	14
Apalone_spinifera	LINE/RTE-BovB	5208	2881609	20
Apalone_spinifera	DNA/TcMar-Tigger	2087	814588	9
Apalone_spinifera	SINE/tRNA-Glu	111	41888	2
Apalone_spinifera	SINE/tRNA-L2	850	353858	1
Apalone_spinifera	DNA/hAT-Ac	2790	1004012	5
Apalone_spinifera	DNA/hAT	148	63410	1
Apalone_spinifera	DNA/Academ	161	97541	1
Apalone_spinifera	SINE/ID	264	116552	2
Apalone_spinifera	LINE/R1	211	115504	1
Apalone_spinifera	LTR/ERV	38	16648	1
Apalone_spinifera	LINE/L1	469	252858	3
Apalone_spinifera	DNA/Sola	821	443995	2
Apalone_spinifera	DNA/TcMar-Pogo	313	230167	1
Apalone_spinifera	LTR/Copia	1151	802873	3
Apalone_spinifera	DNA/TcMar-Tc2	37	14078	1
Apalone_spinifera	DNA/PiggyBac	196	64868	1
Apalone_spinifera	LINE/R2-NeSL	232	107409	1
Apalone_spinifera	LINE/I	294	190801	1
Apalone_spinifera	LINE/Jockey	43	13884	1
Ellobius_talpinus	SINE/Alu	109409	42216220	47
Ellobius_talpinus	SINE/B2	6809	2582735	17
Ellobius_talpinus	SINE/ID	840	267571	2
Ellobius_talpinus	DNA/Novosib	1976	665815	2
Ellobius_talpinus	DNA/hAT-Charlie	4820	2331024	5
Ellobius_talpinus	LTR/ERVL-MaLR	107432	38028465	43
Ellobius_talpinus	SINE/B4	2124	796308	6
Ellobius_talpinus	LTR/ERVK	162678	87730707	119
Ellobius_talpinus	DNA/TcMar-Tigger	829	285202	5
Ellobius_talpinus	DNA/CMC-EnSpm	1025	407593	1
Ellobius_talpinus	DNA/Sola	1026	459273	1
Ellobius_talpinus	LTR/ERVL	22226	10441540	25
Ellobius_talpinus	LINE/L1	205880	131848412	100
Ellobius_talpinus	LTR/ERV1	20049	9874920	42
Ellobius_talpinus	DNA/CMC-Transib	2	628	1
Ellobius_talpinus	LINE/RTE-BovB	614	441165	1
Ellobius_talpinus	LTR/Gypsy	168	118971	1
Ellobius_lutescens	SINE/Alu	57058	21110016	54
Ellobius_lutescens	DNA/hAT-Charlie	2593	1366479	1
Ellobius_lutescens	SINE/ID	4483	1455498	1
Ellobius_lutescens	LTR/ERVL-MaLR	102924	37893951	39
Ellobius_lutescens	LTR/ERVK	143716	71618035	122
Ellobius_lutescens	SINE/B4	12828	4052302	5
Ellobius_lutescens	SINE/B2	7099	2752650	15
Ellobius_lutescens	LTR/ERVL	36986	18444303	27
Ellobius_lutescens	DNA/Novosib	1820	616044	4
Ellobius_lutescens	LINE/L1	183106	112505389	83
Ellobius_lutescens	DNA/CMC-EnSpm	708	281723	2
Ellobius_lutescens	DNA/Ginger	278	98189	1
Ellobius_lutescens	LTR/ERV1	16403	7563808	40
Ellobius_lutescens	DNA/TcMar-Tigger	843	293773	6
Ellobius_lutescens	LINE/L2	319	127057	2
Ellobius_lutescens	LINE/RTE-BovB	403	270325	2
Mus_spretus	LTR/ERVK	91849	44526483	208
Mus_spretus	LINE/L1	334777	256658601	119
Mus_spretus	LTR/ERVL	33635	16920637	37
Mus_spretus	SINE/Alu	80274	31972375	45
Mus_spretus	LTR/ERVL-MaLR	111118	38989388	32
Mus_spretus	SINE/B2	11694	5289341	12
Mus_spretus	LINE/L2	943	402708	2
Mus_spretus	DNA/Sola	7577	3448683	1
Mus_spretus	LTR/ERV1	18264	9038754	39
Mus_spretus	SINE/ID	8764	2800017	4
Mus_spretus	DNA/CMC-EnSpm	438	242266	3
Mus_spretus	DNA/TcMar-Tigger	619	218227	3
Mus_spretus	DNA/hAT-Charlie	2436	1039904	4
Mus_spretus	SINE/B4	673	222088	4
Mus_spretus	LTR/Gypsy	473	414833	1
Malaclemys_terrapin_terrapin	DNA/hAT-Charlie	37864	17118595	35
Malaclemys_terrapin_terrapin	LTR/DIRS	30138	38870652	24
Malaclemys_terrapin_terrapin	SINE/MIR	15629	8298394	35
Malaclemys_terrapin_terrapin	SINE/tRNA-L2	8400	3931698	3
Malaclemys_terrapin_terrapin	LINE/CR1	189942	165609961	88
Malaclemys_terrapin_terrapin	LINE/Penelope	37072	29785811	17
Malaclemys_terrapin_terrapin	LINE/L2	13536	7254940	18
Malaclemys_terrapin_terrapin	DNA/TcMar-Tigger	4331	2897318	3
Malaclemys_terrapin_terrapin	RC/Helitron	1990	808835	1
Malaclemys_terrapin_terrapin	DNA/hAT	203	91079	2
Malaclemys_terrapin_terrapin	DNA/Sola	1188	592232	3
Malaclemys_terrapin_terrapin	DNA/hAT-Blackjack	8654	4671996	6
Malaclemys_terrapin_terrapin	SINE/Deu	2247	1023160	9
Malaclemys_terrapin_terrapin	DNA/PiggyBac	894	355990	3
Malaclemys_terrapin_terrapin	DNA/hAT-Tag1	2318	1532957	6
Malaclemys_terrapin_terrapin	DNA/hAT-Ac	13235	12336365	6
Malaclemys_terrapin_terrapin	LINE/L1	1934	1283991	6
Malaclemys_terrapin_terrapin	DNA/hAT-Tip100	5572	6210051	12
Malaclemys_terrapin_terrapin	LTR/Gypsy	27496	31611858	34
Malaclemys_terrapin_terrapin	LINE/RTE-BovB	6523	5152567	14
Malaclemys_terrapin_terrapin	LINE/L1-Tx1	3700	5188272	5
Malaclemys_terrapin_terrapin	DNA/Maverick	1491	1405422	2
Malaclemys_terrapin_terrapin	DNA/TcMar-Tc2	1196	527182	2
Malaclemys_terrapin_terrapin	DNA/PIF-Harbinger	41701	60542129	26
Malaclemys_terrapin_terrapin	LINE/Jockey	2390	1906568	5
Malaclemys_terrapin_terrapin	DNA/Ginger	2845	1217343	2
Malaclemys_terrapin_terrapin	SINE/tRNA-CR1	3573	2684601	4
Malaclemys_terrapin_terrapin	LTR/ERVK	1295	2354852	2
Malaclemys_terrapin_terrapin	LINE/I-Nimb	530	539949	1
Malaclemys_terrapin_terrapin	LINE/R2-NeSL	1753	1482480	2
Malaclemys_terrapin_terrapin	DNA/Novosib	463	236843	1
Malaclemys_terrapin_terrapin	LTR/ERVL	826	556898	2
Malaclemys_terrapin_terrapin	LTR/ERV1	6728	6500358	17
Malaclemys_terrapin_terrapin	LINE/RTE-RTE	664	463614	2
Malaclemys_terrapin_terrapin	LTR/Gypsy-Cigr	204	149245	1
Malaclemys_terrapin_terrapin	DNA/CMC-EnSpm	1185	808750	2
Malaclemys_terrapin_terrapin	DNA/Academ	632	550075	2
Malaclemys_terrapin_terrapin	LTR/ERV	552	333164	1
Malaclemys_terrapin_terrapin	DNA/MULE-MuDR	28	12450	1
Malaclemys_terrapin_terrapin	LINE/RTE-X	293	138275	1
Cyprinus_carpio	DNA/hAT	40251	17530228	62
Cyprinus_carpio	LTR/Gypsy	16327	11757270	45
Cyprinus_carpio	DNA/Novosib	1236	560696	3
Cyprinus_carpio	LINE/L2	42759	30902229	48
Cyprinus_carpio	DNA/hAT-Ac	12495	6164085	65
Cyprinus_carpio	DNA/hAT-Charlie	5286	2325978	16
Cyprinus_carpio	DNA/CMC-EnSpm	19200	8752581	49
Cyprinus_carpio	DNA/PIF-Harbinger	8662	4215119	46
Cyprinus_carpio	DNA/hAT-Blackjack	195	72322	2
Cyprinus_carpio	LINE/I-Nimb	1550	1225699	2
Cyprinus_carpio	DNA/TcMar	14782	5990127	18
Cyprinus_carpio	LTR/ERV1	1058	703586	6
Cyprinus_carpio	LTR/ERVK	1049	463174	2
Cyprinus_carpio	DNA/PiggyBac	9454	5035006	12
Cyprinus_carpio	LTR/DIRS	20545	13654833	62
Cyprinus_carpio	DNA/Kolobok-T2	17294	8489152	22
Cyprinus_carpio	DNA/TcMar-Tc1	47892	32051929	82
Cyprinus_carpio	LINE/Rex-Babar	15402	11300371	30
Cyprinus_carpio	LINE/RTE-X	1033	689446	4
Cyprinus_carpio	DNA/hAT-Tip100	2322	1089750	9
Cyprinus_carpio	DNA/hAT-hAT5	2497	1105148	8
Cyprinus_carpio	LINE/L1	3197	1945341	10
Cyprinus_carpio	DNA/Ginger	452	261077	1
Cyprinus_carpio	RC/Helitron	6823	4840629	19
Cyprinus_carpio	DNA/hAT-Tol2	587	199217	1
Cyprinus_carpio	DNA/TcMar-ISRm11	1138	568834	4
Cyprinus_carpio	DNA/Sola	853	390733	3
Cyprinus_carpio	LINE/I	1198	489018	4
Cyprinus_carpio	LTR/Pao	1752	1230772	4
Cyprinus_carpio	SINE/5S	354	133082	1
Cyprinus_carpio	LTR/Ngaro	1351	744090	7
Cyprinus_carpio	DNA/P	143	82079	1
Cyprinus_carpio	SINE/Deu	3	923	1
Cyprinus_carpio	DNA/Maverick	498	290005	3
Cyprinus_carpio	LINE/L1-Tx1	1001	772156	3
Cyprinus_carpio	DNA/PIF-ISL2EU	833	489559	3
Cyprinus_carpio	LINE/RTE-BovB	180	128752	1
Cyprinus_carpio	DNA/TcMar-Fot1	404	201994	2
Cyprinus_carpio	LINE/Penelope	231	94886	1
Cyprinus_carpio	DNA/TcMar-Tigger	308	129938	1
Cyprinus_carpio	LINE/Jockey	276	168335	1
Cyprinus_carpio	LTR/Gypsy-Cigr	147	77396	1
Cyprinus_carpio	DNA/MULE-MuDR	133	78013	1
Cyprinus_carpio	DNA/TcMar-Tc2	123	57824	1
Castor_canadensis	LINE/L1	338960	361810463	123
Castor_canadensis	LTR/ERVL-MaLR	80266	29651058	42
Castor_canadensis	SINE/Alu	77508	25885714	8
Castor_canadensis	SINE/ID	2025	643505	5
Castor_canadensis	LTR/ERVL	20275	10259760	30
Castor_canadensis	LTR/ERV1	64545	49443922	132
Castor_canadensis	SINE/MIR	139	44798	4
Castor_canadensis	DNA/CMC-EnSpm	8697	4404328	2
Castor_canadensis	DNA/TcMar-Tigger	13347	5267779	15
Castor_canadensis	DNA/hAT-Charlie	3287	1631871	12
Castor_canadensis	LTR/ERVK	5908	5267303	10
Castor_canadensis	LINE/L2	1783	698415	7
Castor_canadensis	DNA/Ginger	703	450902	1
Castor_canadensis	DNA/Novosib	846	390092	1
Castor_canadensis	DNA/hAT-Tip100	349	156320	3
Castor_canadensis	DNA/hAT-Blackjack	594	210068	3
Castor_canadensis	SINE/5S	72	23027	1
Castor_canadensis	DNA/Sola	308	246524	1
Castor_canadensis	DNA/MuLE-MuDR	257	153056	1
Castor_canadensis	LINE/R1	76	169834	1
Galeopterus_variegatus	LTR/ERV1	48016	25335784	93
Galeopterus_variegatus	LINE/L1	453253	357757816	182
Galeopterus_variegatus	LTR/ERVL-MaLR	156021	62868844	65
Galeopterus_variegatus	DNA/hAT-Charlie	9464	4612511	20
Galeopterus_variegatus	LTR/ERVL	90953	50002482	69
Galeopterus_variegatus	LINE/L2	34649	17110220	18
Galeopterus_variegatus	DNA/TcMar-Tigger	9313	3600488	19
Galeopterus_variegatus	DNA/TcMar-Mariner	3857	3097489	2
Galeopterus_variegatus	DNA/CMC-EnSpm	862	645425	2
Galeopterus_variegatus	SINE/MIR	68	21574	5
Galeopterus_variegatus	DNA/hAT-Tip100	2512	1168501	5
Galeopterus_variegatus	LTR/ERVK	7846	3919053	11
Galeopterus_variegatus	DNA/hAT-Blackjack	914	497996	2
Galeopterus_variegatus	DNA/MULE-MuDR	196	120295	1
Galeopterus_variegatus	LINE/RTE-X	325	214999	1
Galeopterus_variegatus	DNA/TcMar-Tc2	456	191345	2
Galeopterus_variegatus	LINE/CR1	52	17392	2
Galeopterus_variegatus	DNA/TcMar	17	5584	1
Galeopterus_variegatus	RC/Helitron	130	43909	1
Anolis_carolinensis	LINE/L2	103428	65012215	127
Anolis_carolinensis	DNA/hAT-Charlie	31541	15969739	27
Anolis_carolinensis	LINE/Penelope	27801	14983495	16
Anolis_carolinensis	LINE/CR1	62244	45323647	35
Anolis_carolinensis	LTR/Gypsy	36380	54629456	63
Anolis_carolinensis	SINE/Sauria	73155	26531727	26
Anolis_carolinensis	DNA/TcMar-Tigger	57369	20416067	35
Anolis_carolinensis	DNA/CMC-Chapaev-3	6968	2692025	10
Anolis_carolinensis	DNA/TcMar-Mariner	4607	3117387	6
Anolis_carolinensis	DNA/CMC-EnSpm	429	226058	4
Anolis_carolinensis	LINE/Jockey	12681	8713388	7
Anolis_carolinensis	RC/Helitron	17741	12048840	20
Anolis_carolinensis	LTR/Copia	8749	4537177	19
Anolis_carolinensis	LTR/DIRS	4914	4614574	9
Anolis_carolinensis	DNA/TcMar-Tc2	20775	8693110	15
Anolis_carolinensis	LINE/Dong-R4	21749	15200118	9
Anolis_carolinensis	LINE/RTE-BovB	28081	18570282	19
Anolis_carolinensis	DNA/hAT-Tip100	956	536470	5
Anolis_carolinensis	LINE/L1	20192	18291152	53
Anolis_carolinensis	SINE/MIR	100	31895	5
Anolis_carolinensis	SINE/Alu	7164	3209342	4
Anolis_carolinensis	LTR/ERV1	5757	6306558	11
Anolis_carolinensis	LINE/Rex-Babar	861	418909	3
Anolis_carolinensis	DNA/hAT	355	164715	2
Anolis_carolinensis	LINE/RTE-X	3984	2228169	21
Anolis_carolinensis	LTR/Pao	5276	6893521	15
Anolis_carolinensis	DNA/hAT-Ac	1262	2223954	2
Anolis_carolinensis	LINE/R1	234	94395	1
Anolis_carolinensis	DNA/MULE-MuDR	27	8731	2
Anolis_carolinensis	DNA/TcMar-Tc1	273	218167	2
Anolis_carolinensis	DNA/PIF-Harbinger	222	110881	1
Anolis_carolinensis	LTR/Ngaro	770	665867	4
Anolis_carolinensis	DNA/hAT-Tag1	143	52515	2
Anolis_carolinensis	LTR/ERVL	143	46110	1
Anolis_carolinensis	DNA/P	120	58682	1
Cricetulus_griseus	LINE/L1	278185	223849076	97
Cricetulus_griseus	SINE/Alu	84671	31940236	47
Cricetulus_griseus	SINE/B2	6773	2658249	13
Cricetulus_griseus	LTR/ERVL-MaLR	107862	38645250	44
Cricetulus_griseus	LTR/ERVK	86201	46429158	95
Cricetulus_griseus	LINE/L2	6286	3157416	1
Cricetulus_griseus	LTR/ERV1	31385	15296060	45
Cricetulus_griseus	LTR/ERVL	45092	22904985	30
Cricetulus_griseus	SINE/B4	1925	812083	4
Cricetulus_griseus	LTR/Copia	467	147994	2
Cricetulus_griseus	DNA/hAT-Charlie	2559	1330241	1
Cricetulus_griseus	SINE/ID	15	4704	1
Cricetulus_griseus	DNA/CMC-EnSpm	1327	605518	2
Cricetulus_griseus	DNA/TcMar-Tigger	910	343062	5
Cricetulus_griseus	DNA/Sola	20	7362	1
Microtus_ochrogaster	SINE/Alu	133968	53200257	58
Microtus_ochrogaster	SINE/B2	9384	3644879	14
Microtus_ochrogaster	LTR/ERV1	16085	7931827	33
Microtus_ochrogaster	SINE/ID	1137	390373	5
Microtus_ochrogaster	LINE/L1	199782	138825395	93
Microtus_ochrogaster	LTR/ERVK	132747	69565123	111
Microtus_ochrogaster	LTR/ERVL-MaLR	95336	34496889	57
Microtus_ochrogaster	LTR/ERVL	25245	11550551	25
Microtus_ochrogaster	SINE/B4	2435	846020	8
Microtus_ochrogaster	DNA/Ginger	4918	2153355	2
Microtus_ochrogaster	LINE/L2	36	12629	1
Microtus_ochrogaster	DNA/CMC-EnSpm	53	19335	2
Microtus_ochrogaster	DNA/hAT-Charlie	2174	1071114	7
Microtus_ochrogaster	DNA/Novosib	496	188067	1
Microtus_ochrogaster	DNA/Sola	98	67337	1
Microtus_ochrogaster	DNA/TcMar-Tigger	826	280613	7
Microtus_ochrogaster	LINE/RTE-BovB	504	374699	1
Microtus_ochrogaster	DNA/Maverick	98	45926	1
Leptonychotes_weddellii	SINE/tRNA-Lys	44713	19023284	24
Leptonychotes_weddellii	SINE/MIR	51	18012	7
Leptonychotes_weddellii	LINE/L1	319147	231573485	166
Leptonychotes_weddellii	LTR/ERV1	17143	8724566	40
Leptonychotes_weddellii	DNA/hAT-Charlie	8385	4061490	20
Leptonychotes_weddellii	LINE/L2	28481	14100994	26
Leptonychotes_weddellii	DNA/TcMar-Tigger	14528	6499042	15
Leptonychotes_weddellii	LTR/ERVL	42351	21127079	50
Leptonychotes_weddellii	LTR/ERVL-MaLR	61370	24418263	38
Leptonychotes_weddellii	DNA/hAT-Tip100	2737	1364000	7
Leptonychotes_weddellii	DNA/CMC-EnSpm	810	469570	2
Leptonychotes_weddellii	DNA/TcMar	2	620	1
Leptonychotes_weddellii	DNA/hAT-Blackjack	419	176040	4
Leptonychotes_weddellii	DNA/TcMar-Tc2	489	194804	3
Leptonychotes_weddellii	LTR/ERV	212	147330	1
Leptonychotes_weddellii	LINE/CR1	30	10562	1
Leptonychotes_weddellii	LINE/RTE-X	186	65577	2
Leptonychotes_weddellii	LTR/ERVK	297	144693	1
Acinonyx_jubatus	LINE/L2	24809	12164139	25
Acinonyx_jubatus	LTR/ERVL	39997	19726003	49
Acinonyx_jubatus	SINE/tRNA-Lys	65576	29149380	30
Acinonyx_jubatus	LINE/L1	360522	286077282	155
Acinonyx_jubatus	DNA/hAT-Charlie	6504	3268151	12
Acinonyx_jubatus	DNA/TcMar-Tigger	10525	4487751	15
Acinonyx_jubatus	SINE/MIR	153	51816	16
Acinonyx_jubatus	DNA/MULE-MuDR	346	156715	2
Acinonyx_jubatus	LTR/ERVL-MaLR	56121	22348286	37
Acinonyx_jubatus	DNA/CMC-EnSpm	147	63247	3
Acinonyx_jubatus	DNA/hAT-Tip100	2535	1217042	8
Acinonyx_jubatus	DNA/hAT-Blackjack	706	360877	3
Acinonyx_jubatus	LINE/CR1	1	459	1
Acinonyx_jubatus	LTR/ERV1	23057	11846381	42
Acinonyx_jubatus	LTR/ERVK	345	318370	1
Alligator_sinensis	DNA/hAT-Charlie	25848	13106433	46
Alligator_sinensis	DNA/PIF-Harbinger	27078	19411830	30
Alligator_sinensis	LINE/CR1	230723	183692573	94
Alligator_sinensis	LTR/ERV1	6234	4188524	11
Alligator_sinensis	DNA/hAT-Ac	20925	14597291	10
Alligator_sinensis	LINE/Penelope	12228	7180703	18
Alligator_sinensis	LINE/L1-Tx1	15718	12934453	26
Alligator_sinensis	LTR/ERV4	3411	2213828	7
Alligator_sinensis	DNA/TcMar-Tigger	4188	1702597	9
Alligator_sinensis	LINE/RTE-BovB	19831	11937368	38
Alligator_sinensis	SINE/MIR	3615	1773390	5
Alligator_sinensis	DNA/hAT-Blackjack	485	187868	3
Alligator_sinensis	LTR/Gypsy	11442	9285931	23
