query	subject	qStart	qEnd	sStart	sEnd
gi|1163938289|ref|NW_018114570.1|:1181328:1184098:-	gi|1163937029|ref|NW_018114781.1|:150009:153009:-	5	2771	187	3001
AXRT01392490.1:1:491:-	gi|786082947|ref|NW_012114688.1|:5027130:5029298:+	491	1	164	654
NC_030808.1:103889663:103893042:-	NC_030819.1:41369887:41373243:+	33	3380	3357	1
CYUI01014902.1:9502246:9504632:-	CYUI01015347.1:3140012:3146052:-	5	2387	8	2397
NC_029654.1:20884790:20886015:-	NC_029655.1:39848777:39850133:-	1	1226	1	1226
gi|957807195|ref|NW_014639030.1|:49612710:49615324:+	gi|957807214|ref|NW_014639011.1|:4330234:4331987:+	2	649	1051	1701
NIVO01047070.1:11800:13718:+	NIVO01055141.1:970589:972949:+	1	1845	478	2323
gi|924845370|ref|NW_013995860.1|:2564181:2564513:+	gi|924845370|ref|NW_013995860.1|:7102260:7102592:-	1	333	333	1
NC_019861.2:3979486:3979917:-	gi|1097093212|ref|NW_017537748.1|:4159923:4160547:+	429	1	174	611
gi|460722593|ref|NW_004443940.1|:21113495:21115521:+	gi|460718342|ref|NW_004443953.1|:10043131:10045484:+	1	1130	1	1163
HG925147.1:326806:328061:+	HG925426.1:266392:268347:+	523	1256	894	163
gi|1127415521|ref|NW_017844738.1|:32021933:32023622:+	gi|1127432401|ref|NC_032650.1|:121919555:121921829:+	6	1690	524	2215
gi|1163939101|ref|NW_018114461.1|:1902665:1903134:+	FLSR01000155.1:20961:21670:-	470	1	6	475
gi|1097093210|ref|NW_017537750.1|:2418402:2419892:+	gi|1097017946|ref|NW_017544114.1|:18403:19798:+	101	1491	1	1396
NC_035085.1:18636561:18638155:+	NC_035085.1:3897077:3898165:+	1	1080	2	1088
CM003014.1:80152753:80155336:-	CM003016.1:66162889:66164222:-	676	2006	1	1334
gi|1047493592|ref|NW_016243796.1|:1230383:1230989:-	gi|1047491612|ref|NW_016245776.1|:28449:29542:+	1	538	873	340
gi|343530188|ref|NW_003573429.1|:5597629:5598549:+	gi|343530168|ref|NW_003573449.1|:4277863:4278774:+	1	921	2	912
gi|753092154|ref|NT_364102.1|:400:1426:+	gi|786084119|ref|NW_012114544.1|:2318960:2320561:+	1	1027	429	1456
gi|460713558|ref|NW_004444040.1|:1213630:1215962:-	gi|460713400|ref|NW_004444198.1|:700250:703018:+	5	1945	1881	1
KE993672.1:5182778:5183752:+	APJL01109963.1:155:1151:-	1	688	758	93
LIAG010017163.1:7798:8477:-	LIAG011460617.1:3:719:+	1	680	700	21
ref|NW_019160885.1|:12428668:12430723:-	ref|NW_019160897.1|:8577011:8578168:-	929	2055	21	1156
gi|1019156649|ref|NW_015505407.1|:618656:620248:-	gi|1019135765|ref|NW_015507451.1|:69524:70870:-	3	1348	1	1347
gi|1047493574|ref|NW_016243814.1|:2829086:2829576:-	gi|1049006340|ref|NW_016683368.1|:18404506:18405106:+	1	491	586	101
gi|1154410304|ref|NW_018085550.1|:818593:820174:+	gi|1154410204|ref|NW_018085650.1|:2555602:2557205:-	3	1582	1602	1
NC_012597.1:99033259:99034799:+	NW_002945129.1:425:3419:-	1	1541	1550	10
gi|289738953|ref|NW_003183267.1|:6416675:6420520:-	gi|290467391|ref|NC_013913.1|:1001794:1003104:+	139	922	788	1
gi|545793514|ref|NW_005187409.1|:6453136:6454746:+	gi|545793271|ref|NW_005187652.1|:232472:234074:-	3	1611	1603	1
gi|1154404585|ref|NW_018091269.1|:202:1350:-	gi|1154409119|ref|NW_018086735.1|:375249:376449:-	1	1062	116	1182
gi|1041774862|ref|NW_016097724.1|:1987912:1989054:-	gi|1019139447|ref|NW_015507080.1|:94860:95609:-	380	1070	1	707
gi|734308312|ref|NW_011346610.1|:79506:80898:-	gi|734200936|ref|NW_011369945.1|:14373013:14374398:-	1	1387	1	1378
gi|925216783|ref|NC_027300.1|:63103457:63105029:-	gi|925216723|ref|NC_027310.1|:39144283:39145848:-	2	1573	1	1566
ref|NW_019174346.1|:6558973:6559528:+	ref|NW_019174574.1|:3483:5129:-	1	551	1248	698
gi|1047493589|ref|NW_016243799.1|:3052430:3053633:-	gi|1047493526|ref|NW_016243862.1|:2064109:2065219:-	46	1035	31	1013
gi|429476278|ref|NW_003501373.2|:39287769:39290622:+	gi|429476259|ref|NW_003501407.2|:2075996:2081423:-	1	2732	2732	1
NC_035081.1:14429866:14431498:-	NC_035098.1:21795255:21796878:-	1	1632	4	1624
gi|1097095687|ref|NW_017537730.1|:9483579:9484838:-	gi|1097086042|ref|NW_017538162.1|:142492:143612:+	190	1260	1121	1
gi|1022466772|ref|NW_015627535.1|:654912:656328:-	gi|1022401264|ref|NW_015661881.1|:324756:326304:-	1	1417	1	1421
NC_035096.1:3479028:3480632:-	NC_035095.1:56526521:56527555:-	114	1143	1	1035
ref|NW_012234389.1|:136642:137118:-	ref|NW_012234397.1|:178773:179207:+	91	477	406	20
gi|925216772|ref|NC_027302.1|:61733121:61734722:-	gi|925216702|ref|NC_027319.1|:75889018:75890658:+	4	1280	1641	361
gi|1019157764|ref|NW_015505310.1|:1775984:1777542:-	gi|1019126685|ref|NW_015508339.1|:5090:6680:+	1	1262	1591	328
gi|753086874|ref|NT_369382.1|:2:1073:+	ref|NW_018757792.1|:223354:229512:+	1	1072	3329	4400
LIAG010163110.1:429:1407:-	LIAG010819383.1:366:1437:-	1	979	95	1072
gi|1019159367|ref|NW_015505184.1|:12453:14101:-	gi|1019152305|ref|NW_015505800.1|:847483:848892:-	1	1401	34	1410
gi|1051343551|ref|NW_016694792.1|:86653751:86654904:+	gi|1051343075|ref|NW_016694798.1|:32522867:32524239:-	1	1152	1192	44
HG924955.1:2181325:2183361:-	HG925383.1:1371356:1372167:+	66	800	735	1
gi|570364488|ref|NW_006270001.1|:2561812:2563375:+	gi|570364523|ref|NW_006269966.1|:8393416:8395007:-	1	1564	1592	1
KN267589.1:1244002:1246887:+	KN267867.1:5794988:5797335:-	504	2871	2348	2
NC_035082.1:36635772:36636501:-	NC_035105.1:1119273:1120258:-	1	730	257	986
gi|557499184|ref|NW_005871169.1|:1393742:1394563:-	gi|557490856|ref|NW_005871477.1|:547417:548230:-	1	814	1	814
NW_015446606.1:1803:2392:-	gi|1104753494|ref|NW_017613864.1|:5778995:5780188:-	1	590	466	1048
gi|557506343|ref|NW_005871050.1|:19934496:19935321:-	gi|557506344|ref|NW_005871049.1|:23739629:23740444:-	14	813	13	809
LIAG010967299.1:3:1367:-	LIAG010697142.1:2129:3480:-	1	843	1	843
gi|1127293334|ref|NW_017804808.1|:364084:364640:-	gi|1127293140|ref|NW_017805002.1|:3401737:3402448:-	1	548	1	555
JACL01046768.1:1182:1874:-	KN465283.1:92575:93186:+	1	604	612	9
KL336232.1:25638:26147:+	KL339020.1:27014:27503:+	101	509	1	409
AANH01008042.1:36850:38137:+	AANH01013483.1:4223:5520:+	1	1288	1	1298
KN461379.1:67555:68779:+	gi|1047493625|ref|NW_016243763.1|:4871375:4872581:-	1181	35	41	1177
gi|829762302|ref|NW_012217984.1|:242954:244531:-	gi|829716477|ref|NW_012222586.1|:831244:832835:+	2	1578	1592	18
NW_010800693.1:55538:61707:+	NW_010797119.1:76806:82996:+	1	6169	1	6170
LVKQ01S009513.1:21515:23449:+	LVKQ01S013126.1:11905:14100:-	32	1927	2172	267
NC_035079.1:22696852:22697877:-	NC_035101.1:35148499:35149507:+	1	1026	1009	4
gi|925216706|ref|NC_027317.1|:3784168:3785393:+	gi|925216711|ref|NC_027315.1|:34870800:34871663:-	29	485	486	31
KE993744.1:418823:420410:+	KE994352.1:156896:157635:-	1	734	740	8
NC_029657.1:46088202:46089872:+	NC_029650.1:28210059:28210728:-	1008	1667	663	4
ref|NW_018758266.1|:56731:58373:+	ref|NW_018759462.1|:496040:497522:-	1	1460	1460	1
gi|925216725|ref|NC_027309.1|:32221194:32221981:+	gi|925216696|ref|NC_027322.1|:43814252:43815438:-	13	788	981	206
GL142537.1:9821:11356:-	GL147142.1:39896:41439:+	1	810	823	17
gi|460713201|ref|NW_004444397.1|:58256:59476:+	gi|460713395|ref|NW_004444203.1|:1250872:1252535:+	1	1210	2	1194
gi|1167782727|ref|NW_018127978.1|:2153843:2155141:+	gi|1167782615|ref|NW_018128018.1|:682772:683773:+	273	1146	57	948
gi|1097095695|ref|NW_017537722.1|:7645445:7646329:-	gi|1097043885|ref|NW_017541774.1|:190830:191643:-	1	821	15	814
gi|460718344|ref|NW_004443951.1|:20908176:20910472:+	gi|460713503|ref|NW_004444095.1|:936907:938963:+	310	942	30	662
NC_035092.1:29322650:29323678:-	NC_035101.1:43686532:43687560:-	1	1026	1	1029
gi|1041774977|ref|NW_016097609.1|:2575761:2576191:-	gi|1041774746|ref|NW_016097840.1|:1986061:1986501:+	1	431	430	1
gi|829713169|ref|NW_012223117.1|:561057:561514:-	gi|829711720|ref|NW_012223507.1|:67047:68261:-	2	458	665	1121
CCMK010332445.1:1:1115:-	CCMK010028049.1:5696:6703:-	1	1013	3	1008
gi|735088847|ref|NW_011494942.1|:6485622:6488083:+	gi|735088754|ref|NW_011495035.1|:8638384:8639411:+	1427	2462	1	1024
CM003236.1:7233297:7236699:-	CM003226.1:3468870:3472294:+	11	3403	3422	39
gi|778117074|ref|NW_012006154.1|:9428274:9430128:-	gi|778113101|ref|NW_012006924.1|:4284392:4286717:+	111	1855	2248	508
gi|1104753293|ref|NW_017613877.1|:22228665:22230275:-	gi|1104753506|ref|NW_017613863.1|:25756379:25757982:+	1	1611	1604	1
gi|1097093206|ref|NW_017537753.1|:12593915:12594904:-	gi|1097086355|ref|NW_017538148.1|:126616:127788:+	254	990	734	1
BADN01029285.1:4600:5170:-	BADN01105275.1:1046:1590:+	4	522	545	32
gi|1127425672|ref|NW_017844710.1|:77191581:77194235:-	gi|1127425669|ref|NW_017844713.1|:110104272:110106353:-	8	2013	95	2082
ref|NW_019172702.1|:303803:305131:-	ref|NW_019172850.1|:2945129:2946016:-	235	854	253	888
KQ556844.1:24068683:24070247:-	KQ556865.1:28560745:28562277:-	17	1564	15	1533
gi|1104749260|ref|NW_017616011.1|:187868:188270:-	gi|1019154847|ref|NW_015505558.1|:687610:688113:+	403	1	66	467
gi|957807208|ref|NW_014639017.1|:79506750:79509437:-	gi|957807190|ref|NW_014639035.1|:33012927:33014205:+	5	1252	1258	1
KE993772.1:1346591:1347951:-	APJL01132136.1:2:1143:-	161	1295	1	1142
gi|505750917|ref|NW_004558771.1|:5422453:5425033:+	gi|505754007|ref|NW_004558715.1|:30944870:30947092:+	1	2239	1	2223
ref|NW_012224751.1|:199274:200497:-	FLSR01004888.1:5827305:5828496:-	15	1167	20	1172
PIZI01005490.1:9705:11314:-	PIZI01000028.1:1450901:1452478:-	1	1610	2	1576
gi|1104469084|ref|NW_017608758.1|:369803:370452:-	LIAG010073631.1:869:1616:-	1	650	35	681
ref|NW_019170544.1|:2665660:2666658:-	ref|NW_019170832.1|:90520:92135:-	3	999	5	1004
gi|573881644|ref|NW_006272171.1|:9543:10527:+	gi|1047493597|ref|NW_016243791.1|:3332223:3333193:-	962	1	1	962
gi|460713482|ref|NW_004444116.1|:1141990:1143739:+	gi|460713456|ref|NW_004444142.1|:4133585:4134776:+	1	656	534	1192
gi|1097093204|ref|NW_017537755.1|:5996302:5996768:+	gi|1097095702|ref|NW_017537716.1|:14051295:14051844:+	42	462	1	414
gi|1111360171|ref|NW_017713645.1|:21795169:21795814:-	APJP01604267.1:2445:2802:-	1	341	18	358
gi|409211525|ref|NW_004070939.1|:348823:349779:-	gi|409208598|ref|NW_004073848.1|:1468:2086:-	5	623	1	619
gi|1163929969|ref|NW_018115829.1|:4617:6132:+	gi|1163915421|ref|NW_018117858.1|:1342:4325:-	1	1515	1511	1
PIZI01000046.1:5895120:5897440:+	PIZI01006221.1:5745:7721:+	347	2321	1	1974
ref|NW_018352293.1|:74067:74640:-	ref|NW_018354372.1|:414342:415012:-	1	535	1	539
AUPR02S002489.1:11430:12171:-	gi|1019143287|ref|NW_015506688.1|:182710:183753:-	20	686	189	855
gi|1049006349|ref|NW_016683359.1|:36394135:36395720:+	gi|1049006345|ref|NW_016683363.1|:125637351:125638944:+	1	1586	3	1588
gi|1047493632|ref|NW_016243756.1|:5436936:5438131:+	gi|1047493617|ref|NW_016243771.1|:129276:130639:-	4	1193	1198	1
gi|1104753222|ref|NW_017613881.1|:457013:458388:-	gi|1104753364|ref|NW_017613871.1|:26706106:26706792:+	69	730	687	16
CM008022.1:42777527:42778292:+	CM008031.1:40178221:40178934:+	48	737	1	690
gi|545793210|ref|NW_005187713.1|:218338:219775:+	LFLD01S000233.1:315337:315953:-	758	1374	617	1
ref|NW_018753656.1|:90358:93008:-	ref|NW_018756892.1|:176683:182843:-	26	2651	1	2627
NC_035084.1:78678719:78679045:-	NC_035102.1:25883314:25883640:-	1	327	1	327
PIZI01000027.1:26574:28970:-	PIZI01007721.1:5634:7614:-	378	2374	1	1981
gi|545785854|ref|NW_005179769.1|:396311:397350:-	gi|1049006332|ref|NW_016683376.1|:1260665:1262257:+	1040	1	298	1309
JHEK01146777.1:2:1174:+	JHEK01285554.1:1303:1726:-	108	520	418	1
HG925469.1:1235986:1237506:+	HG924911.1:1005178:1006535:-	1	1237	1251	2
KV751350.1:4418729:4420695:-	KV751382.1:1568344:1569248:+	4	826	902	74
NC_029651.1:39357733:39358178:-	NC_029654.1:26512590:26513522:-	1	444	128	571
ref|NW_019172035.1|:358927:359410:+	ref|NW_019172612.1|:59984:60694:-	1	478	463	5
gi|925216769|ref|NC_027303.1|:664587:665809:-	gi|925216691|ref|NC_027324.1|:26690886:26692525:-	1	1223	1	1227
gi|1104753293|ref|NW_017613877.1|:22268582:22270215:-	gi|1104753275|ref|NW_017613878.1|:10484680:10486303:-	11	1632	4	1624
NC_019863.2:7197135:7198261:-	NC_019872.2:18626117:18627349:-	1	1127	2	1131
gi|1097094099|ref|NW_017537736.1|:8252160:8253744:+	gi|1097063059|ref|NW_017540263.1|:36230:37529:-	342	1585	1298	1
HG916837.1:27772015:27772702:-	KV751334.1:5595178:5595887:+	687	1	21	708
LKNJ01003891.1:11570:12410:-	LKNJ01006069.1:15396:15755:-	15	374	1	360
KV751315.1:4311350:4312047:+	KV751367.1:3575061:3576098:+	1	698	333	1038
gi|1040649875|ref|NW_016094741.1|:4911:6076:-	gi|409211301|ref|NW_004071163.1|:522711:523327:+	68	682	617	1
gi|656454695|ref|NW_007579785.1|:108164:108965:+	gi|1019155989|ref|NW_015505464.1|:1653554:1653930:-	799	423	1	377
KN463295.1:29937:31007:+	KN466381.1:3463:4094:+	75	670	19	614
HG925261.1:1674185:1677336:+	HG925119.1:1028117:1031495:+	1	3152	190	3373
gi|1097093202|ref|NW_017537757.1|:4876543:4878704:-	gi|1097085751|ref|NW_017538186.1|:1044623:1045976:-	376	1340	1	970
LIAG010021559.1:255:1326:+	LIAG010086101.1:1769:3207:-	1	1072	1281	208
gi|557492987|ref|NW_005871346.1|:1175080:1180386:-	gi|557490769|ref|NW_005871564.1|:523847:529436:-	2	4920	255	5172
gi|1104470491|ref|NW_017608365.1|:156015:156776:+	gi|1104469637|ref|NW_017608555.1|:593110:593912:-	109	758	659	6
gi|1167782784|ref|NW_018127937.1|:1613966:1615374:+	gi|1167782409|ref|NW_018128182.1|:348580:350220:-	4	1409	1638	228
LIAG010004296.1:8980:10122:-	LIAG010306088.1:8128:9293:-	1	476	57	539
KN461882.1:173048:173443:+	KN463448.1:435266:435760:+	1	396	95	495
ref|NW_012224503.1|:557167:558221:+	ref|NW_012234266.1|:2667474:2668516:+	1	1047	1	1035
NC_035085.1:5987256:5988571:-	NC_035104.1:28816040:28816852:-	701	1316	1	624
JACM01043931.1:2518:3903:-	JACM01008900.1:5798:6824:-	374	1386	1	1027
NC_035077.1:21638095:21639692:+	NC_035090.1:52244193:52245141:+	659	1526	1	836
gi|1167782593|ref|NW_018128025.1|:333836:335234:+	gi|1167778562|ref|NW_018130050.1|:657:1468:+	570	1053	6	489
KE993729.1:625878:627157:+	KE993737.1:1171509:1172757:+	1	1250	1	1248
NC_019859.2:25483881:25485318:-	NC_019867.2:14673008:14674471:-	1	1438	1	1464
gi|1167782534|ref|NW_018128066.1|:2982184:2983806:-	KV751317.1:23030990:23032622:-	1	1623	4	1633
NC_035088.1:56729227:56730775:+	NC_035100.1:26749589:26750935:+	213	1387	179	1340
NC_029649.1:89202853:89203469:-	NC_029662.1:17507082:17507742:+	3	617	659	17
ref|NW_018354996.1|:523156:523835:+	ref|NW_018361464.1|:5427606:5428237:-	56	680	614	1
ref|NW_012234417.1|:248661:249439:-	JSUU01000133.1:44534:45359:+	778	60	66	768
NW_010789692.1:2585967:2587910:+	NW_010790249.1:42978:43856:+	1035	1907	2	874
gi|957807214|ref|NW_014639011.1|:66359572:66362388:-	gi|957807204|ref|NW_014639021.1|:38116450:38118978:-	13	2569	6	2529
gi|924428064|ref|NW_013952403.1|:4213050:4214662:+	gi|924426681|ref|NW_013953109.1|:170808:172420:-	1	1613	1613	1
LIAG010016462.1:5962:7350:+	LIAG010209110.1:413:1981:-	2	1389	1396	2
gi|925216769|ref|NC_027303.1|:12152216:12153161:+	gi|925159989|ref|NW_012341592.1|:727988:729286:-	6	728	718	1
gi|925216764|ref|NC_027304.1|:44528293:44529630:+	gi|925216694|ref|NC_027323.1|:31428773:31429942:+	170	1335	1	1167
PIZI01000040.1:2336421:2338049:-	PIZI01000035.1:5405099:5406698:-	1	1092	8	1104
gi|778162031|ref|NW_012001053.1|:1209194:1211092:-	gi|778153106|ref|NW_012002401.1|:19334702:19336311:-	252	1867	1	1610
NIVO01036985.1:862845:865703:-	NIVO01043894.1:210505:213043:-	850	2626	6	1779
ABQO011190836.1:8:1007:-	gi|1127425672|ref|NW_017844710.1|:4344419:4345317:+	649	4	115	758
HE567548.1:516462:516981:+	HE569453.1:431450:431861:+	9	444	1	412
NW_015443970.1:497276:498245:+	NW_015446288.1:8826:10070:-	6	970	967	1
gi|1154408983|ref|NW_018086871.1|:1033306:1034920:-	gi|1154410256|ref|NW_018085598.1|:4450117:4451631:-	1	1205	1	1183
gi|924428021|ref|NW_013952446.1|:1417190:1418803:+	gi|924427127|ref|NW_013952707.1|:542313:543926:+	1	1610	1	1611
gi|1047493033|ref|NW_016244355.1|:43375:44019:-	gi|1047492356|ref|NW_016245032.1|:61588:62249:+	6	645	662	17
gi|924428046|ref|NW_013952421.1|:438740:440326:-	gi|924426830|ref|NW_013952960.1|:180872:182230:+	1	1347	1358	1
KN461962.1:72986:74036:+	KN462632.1:349054:350163:+	151	919	352	1107
NC_029649.1:78773563:78775159:+	NC_029649.1:95025125:95026316:-	158	1339	1192	2
gi|925216725|ref|NC_027309.1|:45464106:45465465:+	gi|925216706|ref|NC_027317.1|:54184610:54186218:+	1	1360	250	1609
gi|1154405684|ref|NW_018090170.1|:266745:268370:+	gi|1154409744|ref|NW_018086110.1|:2346067:2347686:+	3	1626	14	1620
KE993934.1:427645:428987:+	APJL01136664.1:2:1349:+	1	1343	9	1348
gi|553008338|ref|NW_005812663.1|:504151:507149:-	gi|553001118|ref|NW_005817764.1|:2349933:2351487:-	1308	2869	1	1555
gi|1019157742|ref|NW_015505312.1|:507632:508847:-	gi|1019151867|ref|NW_015505840.1|:1240424:1242027:-	1	1216	37	1251
ref|NW_012234260.1|:3155650:3156323:-	LKNJ01002103.1:22691:23902:+	44	667	626	3
ref|NW_001877362.5|:787980:789192:+	ref|NW_001877433.5|:1863796:1864608:-	3	825	811	6
ref|NW_003040590.4|:15753513:15754976:-	ref|NW_018394323.1|:504696:506081:-	177	1121	1	943
FLSR01004878.1:5602208:5603252:+	FLSR01000779.1:57527:57845:-	74	388	319	5
gi|1070655844|ref|NW_017306406.1|:2145594:2146046:+	gi|1070654703|ref|NW_017307546.1|:444667:445397:+	1	453	89	561
gi|925082175|ref|NW_012343480.1|:25982:26811:+	gi|925048819|ref|NW_012458209.1|:732:1364:+	22	648	3	633
gi|1022472415|ref|NW_015624573.1|:1552444:1554054:-	gi|1022429492|ref|NW_015647035.1|:1912472:1913122:-	1	656	1	651
gi|1104753259|ref|NW_017613879.1|:33184159:33185089:-	gi|829728267|ref|NW_012221319.1|:5159691:5160635:-	173	922	154	932
gi|1041775012|ref|NW_016097574.1|:12271608:12272841:-	gi|1097095693|ref|NW_017537724.1|:11058735:11059917:-	89	1042	74	1032
LGHW01001201.1:637464:638416:+	LGHW01002004.1:226505:227561:-	7	953	964	1
gi|1070655417|ref|NW_017306833.1|:43105:43801:-	gi|1070655121|ref|NW_017307129.1|:571634:572268:+	66	697	635	1
gi|1167782823|ref|NW_018127902.1|:428909:430300:-	gi|1167778628|ref|NW_018130035.1|:1455:1899:-	414	869	1	442
JHEK01004196.1:566:1548:+	NC_035080.1:81844123:81845694:-	964	106	339	1201
gi|924844937|ref|NW_013996293.1|:7545806:7546138:-	gi|924840299|ref|NW_014000931.1|:9890427:9890759:-	1	333	1	333
gi|545793467|ref|NW_005187456.1|:1965099:1965480:+	gi|545793140|ref|NW_005187783.1|:303491:304242:+	1	382	371	752
gi|1167782795|ref|NW_018127926.1|:1047578:1049435:-	gi|1167782276|ref|NW_018128219.1|:9766:11491:-	1	1726	1	1726
gi|1137562136|ref|NW_017860031.1|:23835:24674:-	gi|1047493263|ref|NW_016244125.1|:485737:486099:-	7	369	1	363
gi|1022124388|ref|NW_015551059.1|:184720:185522:-	JPMF01003907.1:9692:10512:+	1	773	778	1
gi|1154409889|ref|NW_018085965.1|:60241:62176:+	gi|1154406014|ref|NW_018089840.1|:285200:287270:-	1	1936	1965	21
NC_035099.1:9433272:9435554:-	PIZI01005852.1:1:2318:+	1	2283	4	2311
gi|459977630|ref|NW_004438432.1|:5596931:5599647:+	gi|459977436|ref|NW_004438626.1|:2724972:2727245:-	182	1646	1465	1
gi|1104753341|ref|NW_017613873.1|:27387200:27388570:+	gi|1104749313|ref|NW_017615982.1|:18016:19172:-	339	1368	1125	88
gi|1070655832|ref|NW_017306418.1|:1209129:1210422:-	gi|1070653439|ref|NW_017308810.1|:90538:91932:+	1	1294	1316	1
gi|573881587|ref|NW_006272172.1|:113639:114577:-	gi|1097095687|ref|NW_017537730.1|:5233305:5233900:+	386	1	10	384
NC_019863.2:8690324:8691255:+	NC_019874.2:26094442:26095957:+	1	932	356	1264
NC_035083.1:66898882:66900518:+	NC_035089.1:20740074:20741702:+	1	1634	1	1626
gi|961417293|ref|NW_015095005.1|:65151:65745:+	gi|961416031|ref|NW_015095558.1|:249574:250045:+	167	593	1	427
ref|NW_018394277.1|:15888295:15889545:+	ref|NW_018394259.1|:261176:262427:-	1	1214	1252	77
NW_019873571.1:20009476:20010600:+	NW_019873586.1:18463023:18467241:+	1	1122	1899	3020
ref|NW_019170535.1|:3766012:3767628:-	ref|NW_019172910.1|:339352:340025:+	155	674	547	8
ref|NW_019174574.1|:2694907:2696116:+	NC_035095.1:23289722:23290790:-	3	1060	1051	1
LIAG010026386.1:7725:9131:+	LIAG010815510.1:1:1243:+	235	1407	1	1183
gi|924428032|ref|NW_013952435.1|:1289017:1290244:-	gi|924427317|ref|NW_013952543.1|:1057861:1059090:+	1	1226	1226	1
gi|972894221|ref|NW_015168722.1|:7255:9155:+	gi|972886927|ref|NW_015176016.1|:34584:36082:+	428	1901	1	1498
gi|656460067|ref|NW_007578471.1|:134147:134602:+	PIZI01000614.1:19580:20957:+	1	428	613	1038
PIZI01000004.1:4275990:4277592:-	PIZI01000030.1:10679208:10680773:+	1	1096	1	1094
LIAG010477528.1:2083:3716:+	LIAG010627435.1:3094:4713:+	2	1634	1	1620
gi|1154409148|ref|NW_018086706.1|:826755:828400:+	gi|1154410250|ref|NW_018085604.1|:843542:845176:+	4	1646	1	1635
ref|NW_003336757.1|:26514:27626:-	ref|NW_018394322.1|:14201580:14202781:+	3	1109	1074	1
gi|1163939057|ref|NW_018114468.1|:242523:243330:+	gi|1163937936|ref|NW_018114621.1|:118021:118527:+	1	507	1	507
gi|1049006349|ref|NW_016683359.1|:83200010:83201599:+	gi|1049006349|ref|NW_016683359.1|:138964945:138966540:+	1	1590	1	1589
BADN01019061.1:2125:2600:-	BADN01044712.1:881:1257:-	110	476	5	359
NC_029656.1:15878418:15881772:-	NW_015443640.1:4682:8039:-	9	3355	9	3358
ref|NW_012224639.1|:271725:272777:-	ref|NW_012224786.1|:3413:4464:-	5	1053	1	1052
KN473535.1:1117:1957:+	gi|313847133|ref|NW_003338793.1|:903824:904984:-	7	834	838	1
NC_012594.1:180429710:180432980:+	NC_012604.1:79968318:79974439:+	1	3271	1649	4914
NW_003642368.1:1:945:+	gi|786098213|ref|NW_012111919.1|:5372127:5374408:+	2	945	966	1909
LIAG010357069.1:5334:6354:-	LIAG010924808.1:289:1454:+	6	1021	1166	163
gi|557497173|ref|NW_005871180.1|:193885:197215:-	gi|557492957|ref|NW_005871376.1|:868992:872138:+	1002	2963	3147	1193
gi|1053596249|ref|NW_016805697.1|:2349729:2352432:+	gi|1053553625|ref|NW_016814978.1|:307626:312350:-	1	2079	2084	2
KN479507.1:9485:10153:+	KN471587.1:116:594:-	190	667	477	2
gi|1041774774|ref|NW_016097812.1|:162138:163240:-	gi|1041775153|ref|NW_016097433.1|:4687090:4688295:+	40	1103	1206	151
gi|925216769|ref|NC_027303.1|:73296849:73298150:+	gi|925216727|ref|NC_027308.1|:73897637:73899244:+	6	1302	280	1604
gi|1097028317|ref|NW_017543260.1|:232718:233938:-	gi|1097022345|ref|NW_017543724.1|:10721:11866:+	77	1219	1146	20
KQ557225.1:5356093:5356924:-	KQ557225.1:46984815:46985564:-	1	591	175	750
gi|1049006344|ref|NW_016683364.1|:83658756:83660285:-	gi|1049006348|ref|NW_016683360.1|:25716418:25718061:-	1	1530	98	1641
NC_029650.1:9689211:9690402:-	NC_029658.1:50862464:50863993:-	1	1192	1	1219
NC_035084.1:53052555:53053130:-	NC_035086.1:29248465:29249665:+	1	576	1169	594
gi|555311715|ref|NW_005841862.1|:3041733:3042295:-	gi|555311155|ref|NW_005842422.1|:820872:821302:+	236	563	408	73
NC_035083.1:27581730:27582815:+	NC_035084.1:26866854:26868057:-	1	1080	17	1094
CM008030.1:10045750:10046974:-	CM008037.1:12016930:12017766:+	189	988	811	6
gi|1154409453|ref|NW_018086401.1|:199063:200120:-	gi|1154409593|ref|NW_018086261.1|:7176944:7177868:-	120	894	150	925
gi|1154409206|ref|NW_018086648.1|:1965080:1965951:+	gi|1154409894|ref|NW_018085960.1|:645344:646274:-	1	872	867	1
gi|961407649|ref|NW_015099427.1|:15072:15665:-	gi|961405955|ref|NW_015100223.1|:8448:8834:-	1	380	9	387
gi|957807215|ref|NW_014639010.1|:85236335:85239077:-	gi|957807214|ref|NW_014639011.1|:129216770:129217760:-	2095	2737	1	659
gi|1104753330|ref|NW_017613874.1|:24756540:24758110:-	gi|1104753381|ref|NW_017613870.1|:3267158:3268549:-	186	1568	10	1392
gi|925216780|ref|NC_027301.1|:54720206:54722362:+	gi|925216691|ref|NC_027324.1|:26525364:26528332:+	1	2157	274	2380
gi|1104753472|ref|NW_017613866.1|:41531577:41533126:+	gi|1104753381|ref|NW_017613870.1|:10468381:10469948:+	3	1546	1	1556
gi|972900987|ref|NW_015161956.1|:1342083:1344446:+	gi|972890936|ref|NW_015172007.1|:1692269:1695488:+	1	2364	734	3097
gi|460718346|ref|NW_004443949.1|:26894472:26896071:+	gi|460718319|ref|NW_004443976.1|:17157288:17158554:+	347	1510	19	1170
PIZI01000018.1:5025334:5027656:-	PIZI01000052.1:6274217:6276537:-	4	2318	3	2316
gi|734390269|ref|NW_011336602.1|:7434:8814:-	gi|734226689|ref|NW_011364193.1|:15060:16449:-	1	1381	1	1390
